,TITLE,TITLE,LABEL
8516,PLDT demands DITO to pay P429.7 million; 3rd player says disclosure 'misleading',PLDT demands DITO to pay P429.7 million; 3rd player says disclosure 'misleading',REAL
3382,Marcos wants agencies to be prepared as Mayon’s alert status raised,Marcos wants agencies to be prepared as Mayon’s alert status raised,REAL
10048,"P9.3-billion confi, intel funds tucked into 2023 budget, says Pimentel","P9.3-billion confi, intel funds tucked into 2023 budget, says Pimentel",REAL
5199,PHIVOLCS: 29 volcanic earthquakes recorded in Bulusan since Thursday,PHIVOLCS: 29 volcanic earthquakes recorded in Bulusan since Thursday,REAL
1809,PUV drivers brace for big-time oil price hike next week,PUV drivers brace for big-time oil price hike next week,REAL
5724,"Euro general' Dela Paz slapped with P200,000 fine over non-declaration of excess cash in 2008 Russia trip","Euro general' Dela Paz slapped with P200,000 fine over non-declaration of excess cash in 2008 Russia trip",REAL
2812,"Marcos on first 100 days: We found best, brightest in gov't","Marcos on first 100 days: We found best, brightest in gov't",REAL
4666,Solon pushes bill penalizing hoax kidnapping,Solon pushes bill penalizing hoax kidnapping,REAL
7892,"Koko Pimentel on lotto: Frequency of wins, multiple winners fuel suspicions","Koko Pimentel on lotto: Frequency of wins, multiple winners fuel suspicions",REAL
9935,"Pinoys shoulder 34%–44.7% of hospital expenses, says PhilHealth","Pinoys shoulder 34%–44.7% of hospital expenses, says PhilHealth",REAL
6810,VP Duterte visits quake-hit Abra on Nat’l Teachers’ Day,VP Duterte visits quake-hit Abra on Nat’l Teachers’ Day,REAL
5847,Filipinos fishing on the frontline of the West Philippine Sea,Filipinos fishing on the frontline of the West Philippine Sea,REAL
7815,Senate finance panel approves NEDA’s proposed P13.273-billion budget,Senate finance panel approves NEDA’s proposed P13.273-billion budget,REAL
10183,Filipinas exhibit Pinoy pride as they climb Mount Everest,Filipinas exhibit Pinoy pride as they climb Mount Everest,REAL
6768,Boracay named Asia’s top island at 2022 Condé Nast Traveler Readers’ Choice Awards,Boracay named Asia’s top island at 2022 Condé Nast Traveler Readers’ Choice Awards,REAL
10203,DMW proposes medical scholarship program to be funded by countries recruiting Filipino health workers,DMW proposes medical scholarship program to be funded by countries recruiting Filipino health workers,REAL
4808,"Boy killed after father’s gun is dropped, goes off","Boy killed after father’s gun is dropped, goes off",REAL
9953,Hontiveros renews call for De Lima's release at UNHRC,Hontiveros renews call for De Lima's release at UNHRC,REAL
9625,"Construction worker borrows son’s motorcycle to give habal rides, gets killed by passenger","Construction worker borrows son’s motorcycle to give habal rides, gets killed by passenger",REAL
4411,San Miguel to acquire Ramon Ang’s Eagle Cement,San Miguel to acquire Ramon Ang’s Eagle Cement,REAL
1754,Marcos administration priority bills now at 23 —PLLO chief,Marcos administration priority bills now at 23 —PLLO chief,REAL
6872,Comelec division disqualifies Legazpi mayor for violating spending ban,Comelec division disqualifies Legazpi mayor for violating spending ban,REAL
854,BSP lists legislative priorities for 19th Congress,BSP lists legislative priorities for 19th Congress,REAL
3137,Arroyo seeks salary hike for science and math teachers,Arroyo seeks salary hike for science and math teachers,REAL
8643,"Senate panel OKs NICA, NSA proposed 2023 budget","Senate panel OKs NICA, NSA proposed 2023 budget",REAL
2010,DOH renews call to get students vaccinated vs. COVID-19,DOH renews call to get students vaccinated vs. COVID-19,REAL
9265,"BI to cancel visas of 48,000 Chinese POGO workers","BI to cancel visas of 48,000 Chinese POGO workers",REAL
1109,"Fires break out in Taguig condo, Manila residential area","Fires break out in Taguig condo, Manila residential area",REAL
3592,"PICC, artworks declared as national cultural treasures","PICC, artworks declared as national cultural treasures",REAL
5468,Marcos leads oath-taking of newly elected LMP officers,Marcos leads oath-taking of newly elected LMP officers,REAL
9044,DA: Vegetable prices up by P10-P20 amid Karding farm damage,DA: Vegetable prices up by P10-P20 amid Karding farm damage,REAL
6203,Househelp' who stole from former employers nabbed after months in hiding,Househelp' who stole from former employers nabbed after months in hiding,REAL
6316,Grace Poe wants accountability over train sets incompatible with PNR tracks,Grace Poe wants accountability over train sets incompatible with PNR tracks,REAL
3147,Bulacan governor warns vs. violating mining ban,Bulacan governor warns vs. violating mining ban,REAL
4318,"DOH seeks to narrow pay gap of health workers, stem exodus","DOH seeks to narrow pay gap of health workers, stem exodus",REAL
1905,LTFRB reopens 43 pre-pandemic PUV routes,LTFRB reopens 43 pre-pandemic PUV routes,REAL
4051,Smart foregoes with blocking links in text messages,Smart foregoes with blocking links in text messages,REAL
3852,"3 students injured in science experiment accident in Monkayo, Davao de Oro","3 students injured in science experiment accident in Monkayo, Davao de Oro",REAL
6850,Senate panel approves GCG’s P245.7-M proposed budget for 2023,Senate panel approves GCG’s P245.7-M proposed budget for 2023,REAL
205,"Lagman is new LP president, Kiko now chairman","Lagman is new LP president, Kiko now chairman",REAL
6327,Peso ends week stronger after reaching new low against US dollar,Peso ends week stronger after reaching new low against US dollar,REAL
6442,Teachers’ group renews call to reduce teaching time to 4 hours in public schools,Teachers’ group renews call to reduce teaching time to 4 hours in public schools,REAL
3326,Dela Rosa inclined to support bills legalizing medical marijuana,Dela Rosa inclined to support bills legalizing medical marijuana,REAL
2968,Angelica Panganiban introduces baby Amila to Judy Ann Santos and family,Angelica Panganiban introduces baby Amila to Judy Ann Santos and family,REAL
3107,Cebu Pacific sees full return to pre-pandemic capacity in 2023,Cebu Pacific sees full return to pre-pandemic capacity in 2023,REAL
1284,"12 secretaries, 2 commissioners bypassed by CA —Zubiri","12 secretaries, 2 commissioners bypassed by CA —Zubiri",REAL
2989,"Suspended BuCor chief Bantag, nangakong haharap sa pagdinig ng DOJ pero may kondisyon-","Suspended BuCor chief Bantag, nangakong haharap sa pagdinig ng DOJ pero may kondisyon-",REAL
6801,"Decongestion at regionalization ng Bilibid, kongkretong solusyon vs sindikato –Sen. Robin Padilla","Decongestion at regionalization ng Bilibid, kongkretong solusyon vs sindikato –Sen. Robin Padilla",REAL
3866,"Mataas na GDP, bunga ng maraming economic activities –PBBM","Mataas na GDP, bunga ng maraming economic activities –PBBM",REAL
9196,"Marcos Admin, nakapagbigay na ng P45-M na halaga na tulong para sa 611 Nagbalik-Loob na mga Dating Rebelde","Marcos Admin, nakapagbigay na ng P45-M na halaga na tulong para sa 611 Nagbalik-Loob na mga Dating Rebelde",REAL
4796,Kauna-unahang QR-Operated Teller Machine sa bansa,Kauna-unahang QR-Operated Teller Machine sa bansa,REAL
9676,"NSA Carlos, nagbago na ang isip sa NTF-ELCAC","NSA Carlos, nagbago na ang isip sa NTF-ELCAC",REAL
961,"Mga pulis, bawal tumangap ng regalo ngayong pasko","Mga pulis, bawal tumangap ng regalo ngayong pasko",REAL
273,"Drilon, Lacson hit 'secrecy' of government’s vaccine procurement program","Drilon, Lacson hit 'secrecy' of government’s vaccine procurement program",REAL
3398,"Pastor Apollo, nais kumbinsihin si PBBM na i-restore ang death penalty","Pastor Apollo, nais kumbinsihin si PBBM na i-restore ang death penalty",REAL
10194,DENR pinagsusumite ng listahan ng lahat ng reclamation projects sa bansa,DENR pinagsusumite ng listahan ng lahat ng reclamation projects sa bansa,REAL
263,MMDA may pagbabagong gagawin sa traffic enforcement para sa Holiday Season,MMDA may pagbabagong gagawin sa traffic enforcement para sa Holiday Season,REAL
1242,SolGen Guevarra denies knowledge of Bilibid excavation,SolGen Guevarra denies knowledge of Bilibid excavation,REAL
2840,"Pagtugon sa climate change, pagpapalakas ng MSMEs, food & energy security, tatalakayin ni PBBM sa APEC Summit","Pagtugon sa climate change, pagpapalakas ng MSMEs, food & energy security, tatalakayin ni PBBM sa APEC Summit",REAL
8772,"Panukalang isali sa education curriculum ang WWII history, lusot na sa Kamara","Panukalang isali sa education curriculum ang WWII history, lusot na sa Kamara",REAL
6862,Suspek sa pagpatay sa delivery rider nahuli sa Bulacan,Suspek sa pagpatay sa delivery rider nahuli sa Bulacan,REAL
6871,"SIM Registration Act, epektibo na simula Disyembre 27","SIM Registration Act, epektibo na simula Disyembre 27",REAL
7391,Senate defers budget of senior citizens' commission anew,Senate defers budget of senior citizens' commission anew,REAL
1570,Jao Mapa’s paintings featured in ‘Alchemy’ exhibit,Jao Mapa’s paintings featured in ‘Alchemy’ exhibit,REAL
2463,"3 sa 10 kabahayan kulang sa nutrisyon dahil sa kawalan ng pagkain'Nananatili pa ring problema ang hindi normal na paglaki, pangangayayat at pagiging overweight ng ilang kabataan sa bansa, ayon sa pinakahuling pag-aaral ng Department of Science and Technology. Nagpa-Patrol, Jasmin Romero. TV Patrol, Martes, 15 Nobyembre 2022.","3 sa 10 kabahayan kulang sa nutrisyon dahil sa kawalan ng pagkain'Nananatili pa ring problema ang hindi normal na paglaki, pangangayayat at pagiging overweight ng ilang kabataan sa bansa, ayon sa pinakahuling pag-aaral ng Department of Science and Technology. Nagpa-Patrol, Jasmin Romero. TV Patrol, Martes, 15 Nobyembre 2022.",REAL
4469,Imported 'galunggong' nabibili sa Balintawak,Imported 'galunggong' nabibili sa Balintawak,REAL
2507,CHED prohibits full distance learning beginning 2nd semester of AY 2022-2023,CHED prohibits full distance learning beginning 2nd semester of AY 2022-2023,REAL
9283,Mga rider umalma sa dagdag na komisyong kaltas ng Grab,Mga rider umalma sa dagdag na komisyong kaltas ng Grab,REAL
8646,He’s got the moves: How a 9-yr-old prodigy from Albay became PH’s latest int’l chess champ,He’s got the moves: How a 9-yr-old prodigy from Albay became PH’s latest int’l chess champ,REAL
6784,NGCP nagtatayo ng power substation sa Boracay,NGCP nagtatayo ng power substation sa Boracay,REAL
1610,"CEMEX, PCX, Greencycle ink agreement toward climate action","CEMEX, PCX, Greencycle ink agreement toward climate action",REAL
9508,235 hired on-the-spot in Caloocan’s Mega Job Fair,235 hired on-the-spot in Caloocan’s Mega Job Fair,REAL
4107,DND admits PH military capability ‘among weakest’ in Asian region,DND admits PH military capability ‘among weakest’ in Asian region,REAL
3474,BuCor to set up high-tech Bilibid security system,BuCor to set up high-tech Bilibid security system,REAL
8197,"BIR chief, CAAP head, DOH Usec. named","BIR chief, CAAP head, DOH Usec. named",REAL
1181,Manila newborn one of world’s 8 billionth babies,Manila newborn one of world’s 8 billionth babies,REAL
624,Pilipinas Shell registered 31% profit growth in three quarters,Pilipinas Shell registered 31% profit growth in three quarters,REAL
5575,Senate approves P1.3-b budget for ERC in 2023,Senate approves P1.3-b budget for ERC in 2023,REAL
2042,Prioritize food security—PBBM,Prioritize food security—PBBM,REAL
8114,Mr. Marcos seeks stronger ties with China and Japan,Mr. Marcos seeks stronger ties with China and Japan,REAL
10246,Senate approves P1.3-b budget for ERC in 2023,Senate approves P1.3-b budget for ERC in 2023,REAL
9029,School-based HPV immunization program in Caloocan City kicks off,School-based HPV immunization program in Caloocan City kicks off,REAL
1680,PBBM leaves today for APEC Summit set in Thailand,PBBM leaves today for APEC Summit set in Thailand,REAL
2874,President urges ASEAN to end Myanmar crisis,President urges ASEAN to end Myanmar crisis,REAL
6448,9 in 10 Pinoys want stronger anti-corruption laws—survey,9 in 10 Pinoys want stronger anti-corruption laws—survey,REAL
8294,PH economy grew 7.6% in third quarter,PH economy grew 7.6% in third quarter,REAL
5244,Higher employment rate reflects recovery from pandemic—Diokno,Higher employment rate reflects recovery from pandemic—Diokno,REAL
7338,September unemployment rate fell to 3-year low of 5%,September unemployment rate fell to 3-year low of 5%,REAL
5926,More Filipinos recognize the value of saving money,More Filipinos recognize the value of saving money,REAL
5914,PNB’s profit declines 57% to P11.4 billion,PNB’s profit declines 57% to P11.4 billion,REAL
3888,Unionbank’s income amounted to P10.1 billion in 9 months,Unionbank’s income amounted to P10.1 billion in 9 months,REAL
763,DOE issues circular opening RE sector to foreign investors,DOE issues circular opening RE sector to foreign investors,REAL
739,DOF supports inclusive extractive industries,DOF supports inclusive extractive industries,REAL
9961,"Senate to revive oversight panel on confidential, intelligence funds","Senate to revive oversight panel on confidential, intelligence funds",REAL
1338,MTRCB partners with Netflix to promote responsible viewership,MTRCB partners with Netflix to promote responsible viewership,REAL
5258,"Dagdag-singil sa tubig, aprubado na ng MWSS Board","Dagdag-singil sa tubig, aprubado na ng MWSS Board",REAL
4053,"Kahung-kahong inabandonang smuggled na sigarilyo, nakumpiska ng PCG sa Port of Siasi, Sulu","Kahung-kahong inabandonang smuggled na sigarilyo, nakumpiska ng PCG sa Port of Siasi, Sulu",REAL
2678,"P80-M halaga ng gintong alahas, naharang ng BOC-NAIA","P80-M halaga ng gintong alahas, naharang ng BOC-NAIA",REAL
3495,"COVID-19 vaccine, epektibo pa rin laban sa severe symptoms","COVID-19 vaccine, epektibo pa rin laban sa severe symptoms",REAL
4930,"DOH, nakapagtala ng higit 1.3-K COVID-19 cases","DOH, nakapagtala ng higit 1.3-K COVID-19 cases",REAL
4904,"Kaso ng BA.4 at BA.5 sa Pilipinas, nagtapos na","Kaso ng BA.4 at BA.5 sa Pilipinas, nagtapos na",REAL
6391,"P5-M multa sa ospital, klinika na humihingi ng deposito bago manggamot, ipinanukala ni Rep. Paolo Duterte","P5-M multa sa ospital, klinika na humihingi ng deposito bago manggamot, ipinanukala ni Rep. Paolo Duterte",REAL
3146,"PNP, nakahanda sa pagbisita ni US Vice President Kamala Harris","PNP, nakahanda sa pagbisita ni US Vice President Kamala Harris",REAL
4489,"Kamara, tiniyak ang tugon sa concerns ni PBBM sa APEC Summit","Kamara, tiniyak ang tugon sa concerns ni PBBM sa APEC Summit",REAL
9521,"AFP Visayas Command, may bagong pinuno","AFP Visayas Command, may bagong pinuno",REAL
4454,"2,398 na pamilya, napagkalooban ng malinis na tubig ng MMDA sa Maguindanao at Antique","2,398 na pamilya, napagkalooban ng malinis na tubig ng MMDA sa Maguindanao at Antique",REAL
4708,"DepEd Region 6, pinasusurii ang water system sa mga paaralan","DepEd Region 6, pinasusurii ang water system sa mga paaralan",REAL
9340,"Problema sa fake news, tututukan ng Office of the Press Secretary –OIC Garafil","Problema sa fake news, tututukan ng Office of the Press Secretary –OIC Garafil",REAL
8145,"Kamara, target maipasa sa third reading ang 2023 proposed national budget para ngayong October 1","Kamara, target maipasa sa third reading ang 2023 proposed national budget para ngayong October 1",REAL
1461,"PNP, tumanggap ng scholarship grant at sasakyan mula sa PSMBFI","PNP, tumanggap ng scholarship grant at sasakyan mula sa PSMBFI",REAL
440,"AFP Visayas Command, may bagong pinuno","AFP Visayas Command, may bagong pinuno",REAL
7844,Pinakamalaking baril ng Army dumating na sa Maguindanao,Pinakamalaking baril ng Army dumating na sa Maguindanao,REAL
3851,Sen. Go isinusulong ang paggawa ng Center for Disease Control,Sen. Go isinusulong ang paggawa ng Center for Disease Control,REAL
334,"EJ Obiena, bumisita sa PH Navy headquarters","EJ Obiena, bumisita sa PH Navy headquarters",REAL
7928,"Higit 20-M National IDs, naimprinta na –PSA","Higit 20-M National IDs, naimprinta na –PSA",REAL
9168,Panahon na para repasuhin ang batas sa responsableng pagmimina –Sen. Padilla,Panahon na para repasuhin ang batas sa responsableng pagmimina –Sen. Padilla,REAL
6455,"Pang. Marcos, concern sa nangyaring pagpatay sa broadcaster na si Percy Lapid; Imbestigasyon sa insidente, ikinasa na","Pang. Marcos, concern sa nangyaring pagpatay sa broadcaster na si Percy Lapid; Imbestigasyon sa insidente, ikinasa na",REAL
3767,"4 na mangingisdang Vietnamese, inaresto sa ilegal na pangingisda sa Pag-asa Island","4 na mangingisdang Vietnamese, inaresto sa ilegal na pangingisda sa Pag-asa Island",REAL
6135,"Mas malakas na strategic partnership ng Pilipinas at Australia, tiniyak","Mas malakas na strategic partnership ng Pilipinas at Australia, tiniyak",REAL
5215,"Natatanging FilAm at produktong Pinoy, kinilala sa 2022 Heritage People’s Ball sa Washington DC","Natatanging FilAm at produktong Pinoy, kinilala sa 2022 Heritage People’s Ball sa Washington DC",REAL
5207,"Mahigt 19.7 milyong Pilipino, nakatanggap na ng 1st Covid booster shot –DOH","Mahigt 19.7 milyong Pilipino, nakatanggap na ng 1st Covid booster shot –DOH",REAL
10021,"Hirit na dagdag-singil sa kuryente ng Meralco at San Miguel Corporation, ibinasura ng ERC","Hirit na dagdag-singil sa kuryente ng Meralco at San Miguel Corporation, ibinasura ng ERC",REAL
5035,"Pagpapalaya ng mga preso, itutuloy-tuloy ng DOJ","Pagpapalaya ng mga preso, itutuloy-tuloy ng DOJ",REAL
3103,"Sen. Estrada, hiniling ang COA na magsagawa ng audit inspection sa DepEd","Sen. Estrada, hiniling ang COA na magsagawa ng audit inspection sa DepEd",REAL
6775,"Dagupan LGU, UNICEF, DOH at CHO, nag-sanib pwersa para sa usaping pangkalusugan","Dagupan LGU, UNICEF, DOH at CHO, nag-sanib pwersa para sa usaping pangkalusugan",REAL
8263,"Pagpapatayo ng Regional Heart Centers, Kidney at Transplant Institutes sa bansa, iginiit ng isang senador","Pagpapatayo ng Regional Heart Centers, Kidney at Transplant Institutes sa bansa, iginiit ng isang senador",REAL
1376,"First Lady Liza Marcos, nais tulungan ang mga naabusong ina at kabataan","First Lady Liza Marcos, nais tulungan ang mga naabusong ina at kabataan",REAL
6494,DOH nakapagtala na ng 450 na kaso ng measles at rubella,DOH nakapagtala na ng 450 na kaso ng measles at rubella,REAL
1510,Sen. Robin sumailalim sa voluntary drug test sa PDEA,Sen. Robin sumailalim sa voluntary drug test sa PDEA,REAL
356,"Karagdagang 1k laptops, ipinamahagi ng QC LGU sa mga pampublikong guro","Karagdagang 1k laptops, ipinamahagi ng QC LGU sa mga pampublikong guro",REAL
8521,Dekalidad na edukasyon para sa mga guro pinatitiyak ni Sen. Gatchalian,Dekalidad na edukasyon para sa mga guro pinatitiyak ni Sen. Gatchalian,REAL
5722,"DOTr Usec. Cesar Chavez, inalok din sa posisyon bilang press secretary","DOTr Usec. Cesar Chavez, inalok din sa posisyon bilang press secretary",REAL
2683,Sen. Padilla isinusulong ang pagtatatag ng Philippine Institute of Virology,Sen. Padilla isinusulong ang pagtatatag ng Philippine Institute of Virology,REAL
8340,"Daanan sa San Ildefonso, Bulacan, inaayos ng DPWH para sa mga magsasaka","Daanan sa San Ildefonso, Bulacan, inaayos ng DPWH para sa mga magsasaka",REAL
4020,"PBBM, importanteng magpaliwanag hinggil sa pag-resign ng kanyang Cabinet members –pol analyst","PBBM, importanteng magpaliwanag hinggil sa pag-resign ng kanyang Cabinet members –pol analyst",REAL
7006,"90% backlog sa plaka, tatapusin sa katapusan ng 2023 –LTO","90% backlog sa plaka, tatapusin sa katapusan ng 2023 –LTO",REAL
3226,"Former rebels sa CARAGA, pinadalhan ng tulong ni PBBM","Former rebels sa CARAGA, pinadalhan ng tulong ni PBBM",REAL
6287,"Sundalo na nahuli dahil sa gun running sa Cotabato, sasailalim sa patas na pagtrato ayon sa PNP chief","Sundalo na nahuli dahil sa gun running sa Cotabato, sasailalim sa patas na pagtrato ayon sa PNP chief",REAL
7119,"Sen. Cynthia Villar, kinilala ang potensiyal ng Mindanao sa agri dev’t","Sen. Cynthia Villar, kinilala ang potensiyal ng Mindanao sa agri dev’t",REAL
3375,"Presidential son William Vincent Marcos, sasailalim sa Executive Motorcycle Riding Course ng PNP-HPG","Presidential son William Vincent Marcos, sasailalim sa Executive Motorcycle Riding Course ng PNP-HPG",REAL
3106,"Active transport projects sa QC, kasado na","Active transport projects sa QC, kasado na",REAL
6804,"1-M bahay, planong itayo ng Marcos administration kada taon –DHSUD","1-M bahay, planong itayo ng Marcos administration kada taon –DHSUD",REAL
5352,"Korte Suprema, may sariling COVID-19 protocols para sa mga kukuha ng Bar exam","Korte Suprema, may sariling COVID-19 protocols para sa mga kukuha ng Bar exam",REAL
2339,"Sen. Angara may P300-K na pabuya para sa makapagbibigay ng impormasyon ng nasa likod sa pagpaslang ng Dipaculao, Aurora Vice Mayor","Sen. Angara may P300-K na pabuya para sa makapagbibigay ng impormasyon ng nasa likod sa pagpaslang ng Dipaculao, Aurora Vice Mayor",REAL
7771,"Gulfstream G280 jet, maaaring gamitin ni PBBM sa kanyang mga official function ayon sa Air Force","Gulfstream G280 jet, maaaring gamitin ni PBBM sa kanyang mga official function ayon sa Air Force",REAL
2422,"Congress, BARMM leaders convene in 'historic' forum","Congress, BARMM leaders convene in 'historic' forum",REAL
1597,Marcos leaves for APEC meet in Thailand,Marcos leaves for APEC meet in Thailand,REAL
4261,PH close to achieving P20/kilo rice,PH close to achieving P20/kilo rice,REAL
2640,NBI set to transfer Vhong Navarro to Taguig jail,NBI set to transfer Vhong Navarro to Taguig jail,REAL
10454,Senator leads 3-day relief drive in Zambales,Senator leads 3-day relief drive in Zambales,REAL
4477,Smoking cannabis more harmful than tobacco,Smoking cannabis more harmful than tobacco,REAL
5184,Villar defends DPWH budget,Villar defends DPWH budget,REAL
4648,JRU drops Amores; game officials probed,JRU drops Amores; game officials probed,REAL
3144,House panel OKs bill granting PH citizenship to Barangay Ginebra's Justin Brownlee,House panel OKs bill granting PH citizenship to Barangay Ginebra's Justin Brownlee,REAL
1784,Dwight Ramos: Gilas on right track,Dwight Ramos: Gilas on right track,REAL
9814,De Liaño has 13-8-8 for Wolves in tuneup,De Liaño has 13-8-8 for Wolves in tuneup,REAL
800,Yassi Pressman on being a good role model,Yassi Pressman on being a good role model,REAL
1518,Cherie Gil's last film to premiere in QCinema,Cherie Gil's last film to premiere in QCinema,REAL
6429,Peso weakens to P57.35 vs USD,Peso weakens to P57.35 vs USD,REAL
3938,Fake accounts delay Twitter Blue relaunch,Fake accounts delay Twitter Blue relaunch,REAL
3638,DA declares Bataan bird flu-free,DA declares Bataan bird flu-free,REAL
6918,PH one of weakest military capability in region,PH one of weakest military capability in region,REAL
9825,Free EDSA bus rides for Christmas,Free EDSA bus rides for Christmas,REAL
7713,Converge shocks Rain or Shine,Converge shocks Rain or Shine,REAL
1829,Stakeholders vow to keep peace in Basilan,Stakeholders vow to keep peace in Basilan,REAL
6995,Aubrey Caraan chooses singing,Aubrey Caraan chooses singing,REAL
2845,Lea Salonga sings Jose Mari Chan classic with Pentatonix's new Christmas album,Lea Salonga sings Jose Mari Chan classic with Pentatonix's new Christmas album,REAL
317,Sustainable beauty — always trendy,Sustainable beauty — always trendy,REAL
3302,Heart Evangelista's new skill,Heart Evangelista's new skill,REAL
9645,Seiko launches third Philippine limited edition Prospex watch,Seiko launches third Philippine limited edition Prospex watch,REAL
9251,COVID-19 JABS | Health authorities say bivalent vaccines will likely be available by early 2023,COVID-19 JABS | Health authorities say bivalent vaccines will likely be available by early 2023,REAL
8146,"HEALTH BUDGET | Health workers’ group seeks more funds for health services, benefits for frontliners.","HEALTH BUDGET | Health workers’ group seeks more funds for health services, benefits for frontliners.",REAL
9722,"FALLING VALUE | Minimum wage must be increased anew due to Low inflation, says think tank.","FALLING VALUE | Minimum wage must be increased anew due to Low inflation, says think tank.",REAL
162,BAYANIHAN POWER | PCG awards Shawarma Shack for help in Typhoon Odette relief operations.,BAYANIHAN POWER | PCG awards Shawarma Shack for help in Typhoon Odette relief operations.,REAL
151,US VICE PRESIDENT VISIT | VP Harris highlights Chinese threat to the Philippines in Palawan visit,US VICE PRESIDENT VISIT | VP Harris highlights Chinese threat to the Philippines in Palawan visit,REAL
6170,STORM | Tropical Depression Obet to hit northernmost part of Luzon tonight – PAGASA,STORM | Tropical Depression Obet to hit northernmost part of Luzon tonight – PAGASA,REAL
2714,ECONOMIC LIFELINE | Senator stresses proposed 2023 budget must address Filipinos’ high savings.,ECONOMIC LIFELINE | Senator stresses proposed 2023 budget must address Filipinos’ high savings.,REAL
3327,COUNTEPRODUCTIVE? | Bato claims allegedly subversive books might brainwash the youth.,COUNTEPRODUCTIVE? | Bato claims allegedly subversive books might brainwash the youth.,REAL
4147,REBUTTAL | Aguirre denies anew claims of forcing testimony against De Lima.,REBUTTAL | Aguirre denies anew claims of forcing testimony against De Lima.,REAL
751,"SEEDS OF HOPE | Cultivating positivity by planting 10,000 coconut seeds in General Santos City.","SEEDS OF HOPE | Cultivating positivity by planting 10,000 coconut seeds in General Santos City.",REAL
3993,DIRECT HAND | Marcos wants to transfer NDRRMC to Office of the President to streamline efforts.,DIRECT HAND | Marcos wants to transfer NDRRMC to Office of the President to streamline efforts.,REAL
3664,"WHY?’ | Pimentel questions P4.6B confidential, intelligence funds of Office of the President.","WHY?’ | Pimentel questions P4.6B confidential, intelligence funds of Office of the President.",REAL
5438,"VULNERABLE AREAS | Residents must be involved in disaster preparedness, says DOST chief.","VULNERABLE AREAS | Residents must be involved in disaster preparedness, says DOST chief.",REAL
6329,PAENG AFTERMATH | Philippines lacks preparedness before storm Paeng – disaster expert.,PAENG AFTERMATH | Philippines lacks preparedness before storm Paeng – disaster expert.,REAL
4455,OVERSIGHT PANEL | Zubiri proposes Senate oversight panel on confidential and intelligence funds.,OVERSIGHT PANEL | Zubiri proposes Senate oversight panel on confidential and intelligence funds.,REAL
9769,FOOD SECURITY | Ex-farm chief calls for help to typhoon-hit farmers in Luzon.,FOOD SECURITY | Ex-farm chief calls for help to typhoon-hit farmers in Luzon.,REAL
235,"MURDER CASE | DOJ looking into Duterte as possible link in deaths of Lapid, middleman.","MURDER CASE | DOJ looking into Duterte as possible link in deaths of Lapid, middleman.",REAL
4359,LOFTY GOAL | Government keen on achieving lowering poverty despite economic woes.,LOFTY GOAL | Government keen on achieving lowering poverty despite economic woes.,REAL
2462,ENERGY TRANSITION | Marcos plans to increase renewable energy share up to 50% by 2040,ENERGY TRANSITION | Marcos plans to increase renewable energy share up to 50% by 2040,REAL
7877,"FOOD CRISIS | Close to three million families felt hunger last quarter, says SWS.","FOOD CRISIS | Close to three million families felt hunger last quarter, says SWS.",REAL
5305,MAAYOS NAMAN’ | Marcos claims economy doing okay but still affected by foreign factors.,MAAYOS NAMAN’ | Marcos claims economy doing okay but still affected by foreign factors.,REAL
8824,"IMMEDIATE SOLUTION’ | K-12 program must be suspended if not funded properly, says Cayetano.","IMMEDIATE SOLUTION’ | K-12 program must be suspended if not funded properly, says Cayetano.",REAL
9453,"LABOR ISSUE | Hontiveros files measure to empower, give benefits to freelance workers.","LABOR ISSUE | Hontiveros files measure to empower, give benefits to freelance workers.",REAL
4289,"MORE UNITY | ‘Tuluy-tuloy ang pagbangon nating lahat,’ exclaims Marcos despite economic issues.","MORE UNITY | ‘Tuluy-tuloy ang pagbangon nating lahat,’ exclaims Marcos despite economic issues.",REAL
5434,KAWAWANG MANGGAGAWA’ | Tulfo slams inequality in enforcing labor dispute judgments.,KAWAWANG MANGGAGAWA’ | Tulfo slams inequality in enforcing labor dispute judgments.,REAL
6665,Bantag to attend probe on Lapid slay,Bantag to attend probe on Lapid slay,REAL
743,New tax scheme proposed,New tax scheme proposed,REAL
9554,Go graces Bulacan's GGB awards,Go graces Bulacan's GGB awards,REAL
8925,Davao City intensifies anti-rabies vaccination,Davao City intensifies anti-rabies vaccination,REAL
5061,"PH cited 'world's leading best dive, beach destination' in '22","PH cited 'world's leading best dive, beach destination' in '22",REAL
7953,Philippines to import 7K metric tons of red onions,Philippines to import 7K metric tons of red onions,REAL
1146,PH fertility rate declines,PH fertility rate declines,REAL
6588,House panel approves measure creating CAR,House panel approves measure creating CAR,REAL
9586,House leader named 'Govt Hero of the Month',House leader named 'Govt Hero of the Month',REAL
6299,"Farm gate prices of chicken, eggs drop","Farm gate prices of chicken, eggs drop",REAL
10314,Aeta tribe offered free birth registration,Aeta tribe offered free birth registration,REAL
9648,LTO employees to control IT systems,LTO employees to control IT systems,REAL
9437,"Floods swamp PH, as death toll climbs to 45","Floods swamp PH, as death toll climbs to 45",REAL
9444,Bustos Dam makes preemptive release of water,Bustos Dam makes preemptive release of water,REAL
1027,Another drug smuggling attempt foiled at NAIA,Another drug smuggling attempt foiled at NAIA,REAL
9560,PAGASA monitors Binga Dam in Benguet as it nears spilling level,PAGASA monitors Binga Dam in Benguet as it nears spilling level,REAL
